# mesh 5 5 5 
#freq[THz]  DOS[au]
  -0.00000   0.0000000e+00
   0.05169   3.2480823e-05
   0.10339   1.2992339e-04
   0.15508   2.9232769e-04
   0.20677   5.1969373e-04
   0.25847   8.1202151e-04
   0.31016   1.1693110e-03
   0.36185   1.5915623e-03
   0.41355   2.0787753e-03
   0.46524   2.6309500e-03
   0.51694   3.2480865e-03
   0.56863   3.9301847e-03
   0.62032   4.6772447e-03
   0.67202   5.4892664e-03
   0.72371   6.3662499e-03
   0.77540   7.3081950e-03
   0.82710   8.3151020e-03
   0.87879   9.3869706e-03
   0.93048   1.0523801e-02
   0.98218   1.1725593e-02
   1.03387   1.2992347e-02
   1.08556   1.4324063e-02
   1.13726   1.5720740e-02
   1.18895   1.7182379e-02
   1.24064   1.8708980e-02
   1.29234   2.0300543e-02
   1.34403   2.1957067e-02
   1.39573   2.3678553e-02
   1.44742   2.5465001e-02
   1.49911   2.7316410e-02
   1.55081   2.9232782e-02
   1.60250   3.1214115e-02
   1.65419   3.3260409e-02
   1.70589   3.5371666e-02
   1.75758   3.7547884e-02
   1.80927   3.9789064e-02
   1.86097   4.2095206e-02
   1.91266   4.4466309e-02
   1.96435   4.6902374e-02
   2.01605   4.9403401e-02
   2.06774   5.1969390e-02
   2.11943   5.4600341e-02
   2.17113   5.7296253e-02
   2.22282   6.0057127e-02
   2.27452   6.2882962e-02
   2.32621   6.5773760e-02
   2.37790   6.8729519e-02
   2.42960   7.1750240e-02
   2.48129   7.4835922e-02
   2.53298   7.7986567e-02
   2.58468   8.1202173e-02
   2.63637   2.5341199e-01
   2.68806   2.7854659e-01
   2.73976   3.0826633e-01
   2.79145   3.4257122e-01
   2.84314   3.8146126e-01
   2.89484   4.2493644e-01
   2.94653   4.7299676e-01
   2.99822   5.2564223e-01
   3.04992   5.8287284e-01
   3.10161   6.5582671e-01
   3.15331   7.2092763e-01
   3.20500   7.7636739e-01
   3.25669   8.2214600e-01
   3.30839   8.5826345e-01
   3.36008   8.8711549e-01
   3.41177   9.2226884e-01
   3.46347   9.6276728e-01
   3.51516   1.0134196e+00
   3.56685   1.0600149e+00
   3.61855   1.1025532e+00
   3.67024   1.1428179e+00
   3.72193   1.1833194e+00
   3.77363   1.2240753e+00
   3.82532   1.2595698e+00
   3.87702   1.2861755e+00
   3.92871   1.3094593e+00
   3.98040   1.3294212e+00
   4.03210   1.3460613e+00
   4.08379   1.4443361e+00
   4.13548   1.5400379e+00
   4.18718   1.5800270e+00
   4.23887   1.5710333e+00
   4.29056   1.5130569e+00
   4.34226   1.3913370e+00
   4.39395   6.4923532e-01
   4.44564   6.3525097e-01
   4.49734   6.1811940e-01
   4.54903   5.9784061e-01
   4.60072   5.7441459e-01
   4.65242   5.4784136e-01
   4.70411   5.1812089e-01
   4.75581   4.8525321e-01
   4.80750   3.5461756e+00
   4.85919   5.4577937e-01
   4.91089   1.0704619e+00
   4.96258   1.0723839e+00
   5.01427   7.8283316e-01
   5.06597   8.8930156e-01
   5.11766   9.8385120e-01
   5.16935   1.0664821e+00
   5.22105   1.1371942e+00
   5.27274   1.1959876e+00
   5.32443   1.2428622e+00
   5.37613   1.3768888e+00
   5.42782   1.5347021e+00
   5.47951   1.6424572e+00
   5.53121   1.6583788e+00
   5.58290   1.6217982e+00
   5.63460   1.6525662e+00
   5.68629   1.5966236e+00
   5.73798   1.3358767e+00
   5.78968   1.3673730e+00
   5.84137   1.3989717e+00
   5.89306   1.4289580e+00
   5.94476   1.4573318e+00
   5.99645   1.4635083e+00
   6.04814   1.4574826e+00
   6.09984   1.4611656e+00
   6.15153   1.4796992e+00
   6.20322   1.3656462e+00
   6.25492   1.4740075e+00
   6.30661   1.6809446e+00
   6.35830   2.0238493e+00
   6.41000   2.3125795e+00
   6.46169   2.4224189e+00
