# normal DOS
#Freq[THz]  DOS
 0.0000000  0.0000000
 0.0552764  0.0000000
 0.1105528  0.0000001
 0.1658291  0.0000005
 0.2211055  0.0000015
 0.2763819  0.0000037
 0.3316583  0.0000076
 0.3869347  0.0000141
 0.4422111  0.0000240
 0.4974874  0.0000384
 0.5527638  0.0000585
 0.6080402  0.0000857
 0.6633166  0.0001214
 0.7185930  0.0001672
 0.7738693  0.0002248
 0.8291457  0.0002963
 0.8844221  0.0003836
 0.9396985  0.0004888
 0.9949749  0.0006144
 1.0502513  0.0007628
 1.1055276  0.0009365
 1.1608040  0.0011383
 1.2160804  0.0013711
 1.2713568  0.0016379
 1.3266332  0.0019418
 1.3819095  0.0022863
 1.4371859  0.0026746
 1.4924623  0.0031105
 1.5477387  0.0035975
 1.6030151  0.0041396
 1.6582915  0.0047408
 1.7135678  0.0054053
 1.7688442  0.0061372
 1.8241206  0.0069411
 1.8793970  0.0078214
 1.9346734  0.0087830
 1.9899497  0.0098306
 2.0452261  0.0109693
 2.1005025  0.0122041
 2.1557789  0.0135403
 2.2110553  0.0149834
 2.2663317  0.0165389
 2.3216080  0.0182124
 2.3768844  0.0200099
 2.4321608  0.0219372
 2.4874372  0.0240005
 2.5427136  0.0262061
 2.5979899  0.0296448
 2.6532663  0.0418286
 2.7085427  0.0458842
 2.7638191  0.0507765
 2.8190955  0.0565515
 2.8743719  0.0632564
 2.9296482  0.0709391
 2.9849246  0.0796485
 3.0402010  0.0894345
 3.0954774  0.1012840
 3.1507538  0.1118911
 3.2060302  0.1204015
 3.2613065  0.1266950
 3.3165829  0.1306491
 3.3718593  0.1326703
 3.4271357  0.1330322
 3.4824121  0.1371603
 3.5376884  0.1437451
 3.5929648  0.1494283
 3.6482412  0.1541905
 3.7035176  0.1581925
 3.7587940  0.1614385
 3.8140704  0.1640849
 3.8693467  0.1668825
 3.9246231  0.1688891
 3.9798995  0.1700766
 4.0351759  0.1704090
 4.0904523  0.1806802
 4.1457286  0.1890304
 4.2010050  0.1912494
 4.2562814  0.1869125
 4.3115578  0.3229694
 4.3668342  0.0762550
 4.4221106  0.0744835
 4.4773869  0.0722863
 4.5326633  0.0696482
 4.5879397  0.0665538
 4.6432161  0.0629878
 4.6984925  0.0589345
 4.7537688  0.0543778
 4.8090452  0.3923810
 4.8643216  0.0636074
 4.9195980  0.1080042
 4.9748744  0.1113457
 5.0301508  0.0774622
 5.0854271  0.0875327
 5.1407035  0.0963438
 5.1959799  0.1038506
 5.2512563  0.1100082
 5.3065327  0.1147707
 5.3618090  0.1231921
 5.4170854  0.1395452
 5.4723618  0.1505942
 5.5276382  0.1534741
 5.5829146  0.1466688
 5.6381910  0.1474469
 5.6934673  0.1399558
 5.7487437  0.1163995
 5.8040201  0.1187136
 5.8592965  0.1206769
 5.9145729  0.1222788
 5.9698492  0.1234441
 6.0251256  0.1217666
 6.0804020  0.1209885
 6.1356784  0.1216098
 6.1909548  0.1109213
 6.2462312  0.1170624
 6.3015075  0.1324294
 6.3567839  0.1582647
 6.4120603  0.1811051
 6.4673367  0.1878218
 6.5226131  0.1682406
 6.5778894  0.1415835
 6.6331658  0.1207174
 6.6884422  0.1010126
 6.7437186  0.0830545
 6.7989950  0.0825148
 6.8542714  0.0831122
 6.9095477  0.0849159
 6.9648241  0.0879552
 7.0201005  0.0922609
 7.0753769  0.0991505
 7.1306533  0.1098009
 7.1859296  0.1052268
 7.2412060  0.0903579
 7.2964824  0.0793968
 7.3517588  0.0744430
 7.4070352  0.0905432
 7.4623116  0.1426673
 7.5175879  0.1293685
 7.5728643  0.0019303
 7.6281407  0.0005477
 7.6834171  0.0000074
 7.7386935  0.0000000
 7.7939698  0.0000000
 7.8492462  0.2575046
 7.9045226  0.1353955
 7.9597990  0.1920686
 8.0150754  0.2230251
 8.0703518  0.2289162
 8.1256281  0.2294853
 8.1809045  0.1850752
 8.2361809  0.1736486
 8.2914573  0.3498442
 8.3467337  0.2431383
 8.4020101  0.1386391
 8.4572864  0.0720059
 8.5125628  0.0138595
 8.5678392  0.0004851
 8.6231156  0.0006049
 8.6783920  0.0007389
 8.7336683  0.0008872
 8.7889447  0.0010501
 8.8442211  0.0012280
 8.8994975  0.0014210
 8.9547739  0.0016294
 9.0100503  0.0018534
 9.0653266  0.0020935
 9.1206030  0.0023497
 9.1758794  0.1084425
 9.2311558  0.0822762
 9.2864322  0.0893400
 9.3417085  0.0804970
 9.3969849  0.0729033
 9.4522613  0.0665819
 9.5075377  0.0615562
 9.5628141  0.0582457
 9.6180905  0.0542610
 9.6733668  0.0491708
 9.7286432  0.0431616
 9.7839196  0.0381967
 9.8391960  0.0347914
 9.8944724  0.0329727
 9.9497487  0.0241777
10.0050251  0.0168492
10.0603015  0.0112774
10.1155779  0.0068360
10.1708543  0.0034729
10.2261307  0.0012062
10.2814070  0.0000539
10.3366834  0.0000000
10.3919598  0.0000000
10.4472362  0.0000000
10.5025126  0.0000000
10.5577889  0.0000000
10.6130653  0.0000000
10.6683417  0.0000000
10.7236181  0.0000000
10.7788945  0.0000000
10.8341709  0.0000000
10.8894472  0.0000000
10.9447236  0.0000000
11.0000000  0.0000000

# green DOS
#Freq[THz]  DOS
 0.0000000  0.0000000
 1.2222222  0.0013990
 2.4444444  0.0223837
 3.6666667  0.1556063
 4.8888889  0.0949925
 6.1111111  0.1211558
 7.3333333  0.0761450
 8.5555556  0.0004603
 9.7777778  0.0386718
11.0000000  0.0000000

